gamma,crater_fraction,rms_slope_deg,chi2
40.0,0.91,46.74592835939637,9565283.837619137
40.0,0.92,47.00207235000181,9387030.45844483
40.0,0.93,47.25682799562188,9210455.708349494
40.0,0.94,47.51021762969286,9035559.588283764
40.0,0.95,47.76226299322265,8862342.099212512
40.0,0.96,48.01298525656109,8690803.242115106
40.0,0.97,48.26240504015252,8520943.017985655
40.0,0.98,48.51054243432789,8352761.427833223
40.0,0.99,48.75741701819031,8186258.472682117
40.0,1.0,49.00304787764431,8021434.153572123
50.0,0.0,0.0,28636595.623119835
50.0,0.01,4.900304787764432,28333815.63855027
50.0,0.02,6.930077490618269,28032645.294299416
50.0,0.03,8.487576864981019,27733084.590623073
50.0,0.04,9.800609575528863,27435133.52778068
50.0,0.05,10.957414615908949,27138792.106035355
50.0,0.06,12.003246314140272,26844060.325653978
50.0,0.07,12.964987816843836,26550938.186907206
50.0,0.08,13.860154981236539,26259425.69006959
50.0,0.09,14.700914363293293,25969522.835419573
50.0,0.1,15.496124358363613,25681229.623239577
50.0,0.11,16.252472339396768,25394546.05381608
50.0,0.12,16.975153729962038,25109472.12743963
50.0,0.13,17.66830017768634,24826007.844404962
50.0,0.14,18.335261606582495,24544153.20501102
50.0,0.15,18.978798834352112,24263908.20956104
50.0,0.16,19.601219151057727,23985272.858362608
50.0,0.17,20.204474237672684,23708247.15172773
50.0,0.18,20.79023247185481,23432831.089972906
50.0,0.19,21.359933362413685,23159024.67341918
50.0,0.2,21.914829231817897,22886827.90239225
50.0,0.21,22.456017618285017,22616240.777222462
50.0,0.22,22.984466804468497,22347263.29824498
50.0,0.23,23.501036175000905,22079895.465799786
50.0,0.24,24.006492628280544,21814137.280231778
50.0,0.25,24.501523938822157,21549988.74189086
50.0,0.26,24.986749735362988,21287449.851132005
50.0,0.27,25.46273059494306,21026520.60831532
50.0,0.28,25.929975633687672,20767201.01380616
50.0,0.29,26.38894888730173,20509491.06797519
50.0,0.3,26.840074709091443,20253390.77119847
50.0,0.31,27.283742364320137,19998900.123857513
50.0,0.32,27.720309962473078,19746019.126339436
50.0,0.33,28.150107840443013,19494747.779036976
50.0,0.34,28.57344148753451,19245086.082348626
50.0,0.35,28.990594085919405,18997034.036678713
50.0,0.36,29.401828726586587,18750591.642437465
50.0,0.37,29.80739035005445,18505758.90004116
50.0,0.38,30.207507452510978,18262535.809912156
50.0,0.39,30.602393591130962,18020922.372479036
50.0,0.4,30.992248716727225,17780918.588176686
50.0,0.41,31.377260357342664,17542524.457446396
50.0,0.42,31.75760467266784,17305739.980735976
50.0,0.43,32.13344739610802,17070565.158499833
50.0,0.44,32.504944678793535,16836999.991199106
50.0,0.45,32.87224384772684,16605044.479301754
50.0,0.46,33.23548408850701,16374698.623282677
50.0,0.47,33.59479706160449,16145962.423623817
50.0,0.48,33.950307459924076,15918835.880814277
50.0,0.49,34.30213351435102,15693318.995350448
50.0,0.5,34.650387453091355,15469411.767736103
50.0,0.51,34.995175919865545,15247114.198482532
50.0,0.52,35.33660035537268,15026426.28810867
50.0,0.53,35.67475734589251,14807348.037141196
50.0,0.54,36.00973894242082,14589879.446114691
50.0,0.55,36.34163295332621,14374020.515571747
50.0,0.56,36.67052321316499,14159771.246063095
50.0,0.57,36.996489829986025,13947131.638147762
50.0,0.58,37.3196094131925,13736101.692393174
50.0,0.59,37.639955283796944,13526681.409375321
50.0,0.6,37.957597668704224,13318870.78967889
50.0,0.61,38.27260388048098,13112669.833897403
50.0,0.62,38.58503848391491,12908078.542633362
